Date,Price,Year,Month,Month Name,Year-Month,% Change,Moving Average
1960-01-01,0.91,1960,1,January,1960-01,0.0,
1960-02-01,0.91,1960,2,February,1960-02,0.0,
1960-03-01,0.91,1960,3,March,1960-03,0.0,0.91
1960-04-01,0.91,1960,4,April,1960-04,0.0,0.91
1960-05-01,0.91,1960,5,May,1960-05,0.0,0.91
1960-06-01,0.91,1960,6,June,1960-06,0.0,0.91
1960-07-01,0.91,1960,7,July,1960-07,0.0,0.91
1960-08-01,0.91,1960,8,August,1960-08,0.0,0.91
1960-09-01,0.91,1960,9,September,1960-09,0.0,0.91
1960-10-01,0.91,1960,10,October,1960-10,0.0,0.91
1960-11-01,0.91,1960,11,November,1960-11,0.0,0.91
1960-12-01,0.91,1960,12,December,1960-12,0.0,0.91
1961-01-01,0.91,1961,1,January,1961-01,0.0,0.91
1961-02-01,0.91,1961,2,February,1961-02,0.0,0.91
1961-03-01,0.91,1961,3,March,1961-03,0.0,0.91
1961-04-01,0.91,1961,4,April,1961-04,0.0,0.91
1961-05-01,0.91,1961,5,May,1961-05,0.0,0.91
1961-06-01,0.91,1961,6,June,1961-06,0.0,0.91
1961-07-01,0.91,1961,7,July,1961-07,0.0,0.91
1961-08-01,0.91,1961,8,August,1961-08,0.0,0.91
1961-09-01,0.91,1961,9,September,1961-09,0.0,0.91
1961-10-01,0.91,1961,10,October,1961-10,0.0,0.91
1961-11-01,0.92,1961,11,November,1961-11,1.03,0.92
1961-12-01,1.03,1961,12,December,1961-12,11.93,0.96
1962-01-01,1.04,1962,1,January,1962-01,0.93,1.0
1962-02-01,1.02,1962,2,February,1962-02,-1.74,1.03
1962-03-01,1.01,1962,3,March,1962-03,-0.95,1.03
1962-04-01,1.01,1962,4,April,1962-04,0.0,1.02
1962-05-01,1.01,1962,5,May,1962-05,0.0,1.01
1962-06-01,1.02,1962,6,June,1962-06,0.76,1.02
1962-07-01,1.04,1962,7,July,1962-07,1.25,1.02
1962-08-01,1.08,1962,8,August,1962-08,4.59,1.05
1962-09-01,1.15,1962,9,September,1962-09,6.61,1.09
1962-10-01,1.21,1962,10,October,1962-10,4.45,1.15
1962-11-01,1.19,1962,11,November,1962-11,-1.19,1.18
1962-12-01,1.2,1962,12,December,1962-12,0.59,1.2
1963-01-01,1.24,1963,1,January,1963-01,3.76,1.21
1963-02-01,1.26,1963,2,February,1963-02,1.01,1.23
1963-03-01,1.27,1963,3,March,1963-03,1.19,1.26
1963-04-01,1.27,1963,4,April,1963-04,0.12,1.27
1963-05-01,1.28,1963,5,May,1963-05,0.46,1.27
1963-06-01,1.28,1963,6,June,1963-06,-0.15,1.28
1963-07-01,1.29,1963,7,July,1963-07,1.03,1.28
1963-08-01,1.29,1963,8,August,1963-08,-0.16,1.28
1963-09-01,1.29,1963,9,September,1963-09,0.37,1.29
1963-10-01,1.29,1963,10,October,1963-10,0.03,1.29
1963-11-01,1.29,1963,11,November,1963-11,0.0,1.29
1963-12-01,1.29,1963,12,December,1963-12,0.0,1.29
1964-01-01,1.29,1964,1,January,1964-01,0.0,1.29
1964-02-01,1.29,1964,2,February,1964-02,0.0,1.29
1964-03-01,1.29,1964,3,March,1964-03,0.0,1.29
1964-04-01,1.29,1964,4,April,1964-04,0.0,1.29
1964-05-01,1.29,1964,5,May,1964-05,0.0,1.29
1964-06-01,1.29,1964,6,June,1964-06,0.0,1.29
